id,value
id_0,5.308080068514911
id_1,17.3178209309947
id_2,24.242936285012874
id_3,8.128647336294986
id_4,27.420345125868295
id_5,21.98269072395512
id_6,23.609504473423222
id_7,30.77852241200698
id_8,16.834391293217667
id_9,58.879835128032454
id_10,13.183862334092247
id_11,10.275707764856287
id_12,61.98064135985654
id_13,52.755199276461106
id_14,22.277855421087427
id_15,11.884936256850807
id_16,31.930801424844525
id_17,67.82372520253972
id_18,-0.8762224876857729
id_19,16.86350255933916
id_20,42.204539800381205
id_21,71.9874364138363
id_22,9.583288792446321
id_23,18.044890356151186
id_24,14.904546179466923
id_25,38.14276988424623
id_26,14.208126271859996
id_27,71.99036447542613
id_28,7.58263245255136
id_29,54.97756027746899
id_30,23.676656607278044
id_31,8.583751652905587
id_32,2.482498667419172
id_33,19.5563660872472
id_34,29.05474112096457
id_35,37.15302360868719
id_36,43.058906902480885
id_37,30.00850383170068
id_38,43.31052605116044
id_39,35.29430536037719
id_40,7.222939468844498
id_41,40.67273048517687
id_42,31.038563954583907
id_43,50.41472981159421
id_44,16.781741760730107
id_45,35.17996491346413
id_46,24.652048460783046
id_47,10.49943190617032
id_48,25.35715748917786
id_49,32.41874487217116
id_50,20.739641604420946
id_51,8.606474656703597
id_52,20.622519011681653
id_53,53.34789941569319
id_54,15.893541244854209
id_55,35.876639810055835
id_56,32.56543882482672
id_57,22.50511356460106
id_58,57.990810362092496
id_59,21.798463127728553
id_60,15.077024055488394
id_61,41.62395493964502
id_62,12.684063390777816
id_63,48.69780175359588
id_64,15.031159081672035
id_65,15.408880060157884
id_66,14.011252790374051
id_67,-0.24152121552029726
id_68,43.48765040871709
id_69,30.50577138170879
id_70,20.35522582664298
id_71,40.19193141568765
id_72,60.147798323071896
id_73,5.109179168529792
id_74,16.781336826986013
id_75,5.191568177069918
id_76,39.85158977765824
id_77,14.330280130575797
id_78,22.134276284316893
id_79,22.060113824958528
id_80,24.71437817159067
id_81,37.399801503003516
id_82,22.3709608053968
id_83,91.49464525305194
id_84,36.40572881139548
id_85,26.688401071309247
id_86,22.71409143253483
id_87,31.70667441776579
id_88,24.273534964425664
id_89,20.88379392880568
id_90,29.5546529782869
id_91,41.02555818827179
id_92,4.146933336965283
id_93,38.118521155293635
id_94,45.97571521767206
id_95,16.228985487508158
id_96,33.03564234179224
id_97,12.125960185057583
id_98,24.42039433060902
id_99,3.968612761159367
id_100,18.178952887278008
id_101,27.79420598423689
id_102,13.110317440720404
id_103,15.70329287007237
id_104,23.29893769928022
id_105,39.6384362412063
id_106,30.54356715074237
id_107,6.847492328674901
id_108,7.526524902413449
id_109,78.62738662811967
id_110,46.84937767796367
id_111,15.836099660197075
id_112,28.072493209840744
id_113,15.41704942654168
id_114,14.154518164647829
id_115,25.16032178414891
id_116,25.283167486972708
id_117,10.100376781702746
id_118,17.745971026053
id_119,19.485001708384953
id_120,80.71427822865019
id_121,25.66170706139502
id_122,36.26576378357143
id_123,25.0459881233743
id_124,8.232062239434274
id_125,40.17418006068485
id_126,10.28626810525055
id_127,20.735183802147738
id_128,28.52526676214429
id_129,62.83037221049937
id_130,22.067864750247246
id_131,22.64671790202337
id_132,59.33449460758475
id_133,15.176615489224416
id_134,14.575954588404052
id_135,2.389549197395887
id_136,11.793918551968785
id_137,58.820314036087154
id_138,19.29983796733942
id_139,5.940622173012169
id_140,28.130759069794983
id_141,25.652318510227268
id_142,44.639992918890584
id_143,30.115171111212828
id_144,18.430615846119434
id_145,26.36452142075433
id_146,11.156096432917664
id_147,51.764709045259686
id_148,23.07195120578042
id_149,38.0369585928936
id_150,9.396097965891052
id_151,7.764073443115198
id_152,23.878431335521782
id_153,6.970187798404584
id_154,14.529362280624433
id_155,41.09609887855767
id_156,8.206917703789841
id_157,36.77027790649339
id_158,10.148748206148962
id_159,18.528705439711544
id_160,41.07913853428107
id_161,18.6001326085768
id_162,12.062654599257069
id_163,7.520779281388911
id_164,51.694067714377795
id_165,30.524658974478
id_166,-0.44748199885722784
id_167,15.334263969440315
id_168,63.24847237246394
id_169,14.143672452923319
id_170,64.43630534823795
id_171,39.26847506013718
id_172,26.619196013600227
id_173,20.544732088092772
id_174,61.73449763124342
id_175,24.723958507747426
id_176,21.02697681666052
id_177,37.317302459170996
id_178,12.15324675407671
id_179,31.006649292480233
id_180,16.54903423098476
id_181,11.504574273541213
id_182,55.68596205797733
id_183,46.54346948323141
id_184,16.418519844958023
id_185,35.40046722279371
id_186,26.347222603907262
id_187,70.29359319890348
id_188,9.818585357440664
id_189,56.7599242020774
id_190,38.151799135676214
id_191,15.945738639842416
id_192,29.849020023366513
id_193,0.3957420369702511
id_194,19.37747027772371
id_195,0.808086465610593
id_196,34.13314540096614
id_197,10.499715047950492
id_198,18.628552738200916
id_199,61.03485039997712
id_200,24.322100099250278
id_201,23.56812673475408
id_202,64.7245237717005
id_203,10.645434373695949
id_204,9.004553044002693
id_205,11.636895540944952
id_206,8.0033777543834
id_207,1.8902879576478995
id_208,123.54920699678931
id_209,19.947853818892455
id_210,15.684222009189225
id_211,13.919291380897747
id_212,36.530758875745036
id_213,36.248231482350505
id_214,19.60547250450065
id_215,34.190795615591696
id_216,77.20345443476454
id_217,0.403627273013317
id_218,12.942776436935421
id_219,32.60193635076026
id_220,15.509922886422562
id_221,12.559770877835184
id_222,113.43490680278
id_223,12.676531298288847
id_224,16.91656086467815
id_225,62.162430105106736
id_226,16.366064799528893
id_227,19.945095454753
id_228,9.54089825923047
id_229,3.670748444341008
id_230,45.66883236223417
id_231,13.391514947033063
id_232,53.24956370375385
id_233,42.37997831939936
id_234,24.32401352704269
id_235,41.28296105763118
id_236,68.43101734635833
id_237,40.65125063904237
id_238,12.59487653460709
id_239,16.879794103369164
